id,segment,audience,currentLength,targetLength,goal,chemical,dailyMinutes,stage,started,uploaded,consented,completed,selected,latencyMs,status,variants,feedback
"U001","明确换发需求者","feminine","medium","medium","fashion","false","5","result","true","true","true","true","true","745","201","柔和微卷|锁骨层次|中性轻狼尾","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
"U002","明确换发需求者","neutral","short","medium","fashion","false","20","result","true","true","true","true","true","721","201","柔和微卷|中性轻狼尾|锁骨层次","三种方向便于比较，但需要真实AI效果图才能判断是否可信。"
"U003","明确换发需求者","feminine","medium","short","professional","false","20","result","true","true","true","true","false","722","201","自然侧分|法式短波波|轻纹理短碎","三个方案有区别，但缺少正面/侧面和细节对比。"
"U004","明确换发需求者","masculine","short","short","younger","true","30","result","true","true","true","true","false","722","201","法式短波波|轻纹理短碎|自然侧分","我理解这是演示，但当前预览质量不足以让我选择。"
"U005","明确换发需求者","neutral","long","long","volume","false","30","result","true","true","true","true","false","722","201","长发流线层次|柔和微卷|中性轻狼尾","我理解这是演示，但当前预览质量不足以让我选择。"
"U006","明确换发需求者","feminine","long","short","fresh","false","30","result","true","true","true","true","true","722","201","自然侧分|轻纹理短碎|法式短波波","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U007","明确换发需求者","neutral","medium","medium","volume","false","15","result","true","true","true","true","true","722","201","柔和微卷|中性轻狼尾|长发流线层次","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U008","明确换发需求者","masculine","short","short","volume","false","0","result","true","true","true","true","true","722","201","轻纹理短碎|自然侧分|柔和微卷","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U009","明确换发需求者","neutral","short","short","fashion","true","30","result","true","true","true","true","false","723","201","法式短波波|自然侧分|柔和微卷","三个方案有区别，但缺少正面/侧面和细节对比。"
"U010","明确换发需求者","masculine","short","short","fresh","true","10","result","true","true","true","true","true","723","201","轻纹理短碎|自然侧分|法式短波波","三种方向便于比较，但需要真实AI效果图才能判断是否可信。"
"U011","明确换发需求者","neutral","medium","medium","fashion","true","0","result","true","true","true","true","false","706","201","柔和微卷|中性轻狼尾|锁骨层次","Mock叠加效果不像真实发型，无法据此做决定。"
"U012","明确换发需求者","masculine","long","medium","professional","false","5","result","true","true","true","true","true","706","201","柔和微卷|中性轻狼尾|自然侧分","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
"U013","明确换发需求者","feminine","medium","medium","fashion","true","5","result","true","true","true","true","true","706","201","柔和微卷|锁骨层次|中性轻狼尾","三种方向便于比较，但需要真实AI效果图才能判断是否可信。"
"U014","明确换发需求者","neutral","medium","medium","volume","true","30","result","true","true","true","true","false","708","201","柔和微卷|中性轻狼尾|长发流线层次","Mock叠加效果不像真实发型，无法据此做决定。"
"U015","明确换发需求者","neutral","short","short","volume","false","20","result","true","true","true","true","true","706","201","轻纹理短碎|自然侧分|柔和微卷","三种方向便于比较，但需要真实AI效果图才能判断是否可信。"
"U016","明确换发需求者","masculine","short","short","fashion","true","20","result","true","true","true","true","true","709","201","法式短波波|轻纹理短碎|自然侧分","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
"U017","明确换发需求者","masculine","short","short","younger","true","5","result","true","true","true","true","false","708","201","法式短波波|轻纹理短碎|自然侧分","三个方案有区别，但缺少正面/侧面和细节对比。"
"U018","明确换发需求者","feminine","short","short","professional","true","30","result","true","true","true","true","false","709","201","自然侧分|法式短波波|轻纹理短碎","我理解这是演示，但当前预览质量不足以让我选择。"
"U019","明确换发需求者","neutral","long","long","fresh","false","15","result","true","true","true","true","true","709","201","空气刘海中长发|长发流线层次|自然侧分","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U020","明确换发需求者","neutral","short","short","younger","true","10","result","true","true","true","true","false","710","201","法式短波波|自然侧分|柔和微卷","Mock叠加效果不像真实发型，无法据此做决定。"
"U021","明确换发需求者","neutral","long","long","younger","false","20","result","true","true","true","true","true","707","201","空气刘海中长发|长发流线层次|柔和微卷","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
"U022","明确换发需求者","feminine","long","long","professional","false","0","result","true","true","true","true","true","708","201","长发流线层次|空气刘海中长发|自然侧分","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U023","明确换发需求者","feminine","short","short","professional","true","5","result","true","true","true","true","false","709","201","自然侧分|法式短波波|轻纹理短碎","三个方案有区别，但缺少正面/侧面和细节对比。"
"U024","明确换发需求者","neutral","long","medium","volume","true","20","result","true","true","true","true","true","709","201","柔和微卷|中性轻狼尾|长发流线层次","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
"U025","明确换发需求者","neutral","long","medium","fashion","false","20","result","true","true","true","true","true","709","201","柔和微卷|中性轻狼尾|锁骨层次","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
"U026","明确换发需求者","neutral","long","long","fresh","true","20","result","true","true","true","true","false","709","201","空气刘海中长发|长发流线层次|自然侧分","Mock叠加效果不像真实发型，无法据此做决定。"
"U027","明确换发需求者","neutral","medium","medium","fashion","false","20","result","true","true","true","true","true","711","201","柔和微卷|中性轻狼尾|锁骨层次","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U028","明确换发需求者","masculine","medium","medium","younger","false","5","result","true","true","true","true","true","711","201","柔和微卷|锁骨层次|中性轻狼尾","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
"U029","明确换发需求者","neutral","short","short","fashion","false","10","upload","true","true","false","false","false","0","0","","手头没有合适的正脸照片，准备成本比预想高。"
"U030","明确换发需求者","neutral","long","long","younger","false","5","result","true","true","true","true","false","711","201","空气刘海中长发|长发流线层次|柔和微卷","三个方案有区别，但缺少正面/侧面和细节对比。"
"U031","明确换发需求者","neutral","medium","medium","younger","false","20","result","true","true","true","true","true","705","201","柔和微卷|锁骨层次|中性轻狼尾","三种方向便于比较，但需要真实AI效果图才能判断是否可信。"
"U032","明确换发需求者","masculine","short","short","fresh","true","20","result","true","true","true","true","false","705","201","轻纹理短碎|自然侧分|法式短波波","我理解这是演示，但当前预览质量不足以让我选择。"
"U033","谨慎决策者","neutral","short","short","fresh","false","20","result","true","true","true","true","true","707","201","自然侧分|轻纹理短碎|法式短波波","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U034","谨慎决策者","neutral","medium","medium","professional","false","0","result","true","true","true","true","true","707","201","柔和微卷|中性轻狼尾|自然侧分","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U035","谨慎决策者","neutral","long","medium","fresh","true","5","landing","false","false","false","false","false","0","0","","首屏信息较多，我还没确定是否值得上传照片。"
"U036","谨慎决策者","neutral","medium","short","fashion","false","20","result","true","true","true","true","false","707","201","法式短波波|自然侧分|柔和微卷","三个方案有区别，但缺少正面/侧面和细节对比。"
"U037","谨慎决策者","feminine","long","medium","fashion","false","5","upload","true","true","false","false","false","0","0","","手头没有合适的正脸照片，准备成本比预想高。"
"U038","谨慎决策者","neutral","medium","medium","volume","true","20","result","true","true","true","true","true","707","201","柔和微卷|中性轻狼尾|长发流线层次","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
