id,segment,job,started,uploaded,completed,selected,willingToSalon,willingToPay,identity,latency,pain,desired
"R1-1","近期剪发","剪前确认效果","true","true","true","false","false","false","3.8","751","不知道下一步怎么带到店","先看真实案例"
"R1-2","近期剪发","剪前确认效果","true","true","true","true","true","false","3.6","729","人物一致性不足","明确照片保存与删除"
"R1-3","近期剪发","找到适合自己的发型","true","true","true","false","false","false","3.8","729","缺少现实可实现说明","先看真实案例"
"R1-4","近期剪发","剪前确认效果","true","true","true","true","true","false","3.3","729","人物一致性不足","更真实地保持本人"
"R1-5","近期剪发","剪前确认效果","true","true","true","false","false","false","3.7","730","不知道下一步怎么带到店","展示打理难度"
"R1-6","近期剪发","找到适合自己的发型","true","true","false","false","false","false","3.8","0","结果仍像参考而非承诺","先看真实案例"
"R1-7","近期剪发","找到适合自己的发型","true","true","true","true","true","false","4.0","731","不知道下一步怎么带到店","先看真实案例"
"R1-8","近期剪发","找到适合自己的发型","true","true","true","false","false","false","3.5","730","人物一致性不足","展示打理难度"
"R1-9","近期剪发","找到适合自己的发型","true","true","true","false","false","false","3.6","731","人物一致性不足","先看真实案例"
"R1-10","近期剪发","剪前确认效果","true","false","false","false","false","false","3.5","0","没有合适照片或不想上传","支持重生成"
"R1-11","近期剪发","找到适合自己的发型","true","false","false","false","false","false","3.3","0","没有合适照片或不想上传","展示打理难度"
"R1-12","近期剪发","找到适合自己的发型","true","true","true","true","false","false","3.2","706","人物一致性不足","更真实地保持本人"
"R1-13","近期剪发","找到适合自己的发型","true","true","true","false","false","false","3.9","707","结果仍像参考而非承诺","先看真实案例"
"R1-14","近期剪发","剪前确认效果","true","true","true","true","false","false","3.7","708","人物一致性不足","先看真实案例"
"R1-15","近期剪发","剪前确认效果","true","true","true","false","false","false","3.6","708","人物一致性不足","先看真实案例"
"R1-16","近期剪发","剪前确认效果","true","true","true","true","false","false","3.7","709","结果仍像参考而非承诺","先看真实案例"
"R1-17","近期剪发","找到适合自己的发型","true","true","true","false","false","false","3.8","709","缺少现实可实现说明","先看真实案例"
"R1-18","近期剪发","剪前确认效果","true","true","true","false","false","false","3.8","709","不知道下一步怎么带到店","更真实地保持本人"
"R1-19","近期剪发","找到适合自己的发型","true","true","true","false","false","false","4.0","710","不知道下一步怎么带到店","先看真实案例"
"R1-20","近期剪发","剪前确认效果","true","true","true","false","false","false","4.0","711","缺少现实可实现说明","更真实地保持本人"
"R1-21","近期剪发","剪前确认效果","true","true","true","true","true","false","4.0","705","结果仍像参考而非承诺","明确照片保存与删除"
"R1-22","近期剪发","找到适合自己的发型","true","true","true","false","false","false","3.9","705","无法微调不满意的部分","展示打理难度"
"R1-23","近期剪发","剪前确认效果","true","true","true","false","false","false","3.9","706","不知道下一步怎么带到店","展示打理难度"
"R1-24","近期剪发","找到适合自己的发型","true","true","true","false","false","false","3.8","706","无法微调不满意的部分","支持重生成"
"R1-25","近期剪发","找到适合自己的发型","true","false","false","false","false","false","3.8","0","没有合适照片或不想上传","先看真实案例"
"R1-26","近期剪发","剪前确认效果","true","true","false","false","false","false","4.1","0","担心人脸数据","更真实地保持本人"
"R1-27","近期剪发","找到适合自己的发型","true","true","true","true","false","false","3.7","708","人物一致性不足","先看真实案例"
"R1-28","近期剪发","找到适合自己的发型","true","true","true","false","false","false","3.7","709","缺少现实可实现说明","更真实地保持本人"
"R1-29","近期剪发","剪前确认效果","true","false","false","false","false","false","3.6","0","没有合适照片或不想上传","展示打理难度"
"R1-30","近期剪发","剪前确认效果","true","true","true","true","true","false","3.5","710","人物一致性不足","支持重生成"
"R1-31","谨慎决策","降低剪坏风险","true","true","true","true","false","false","3.9","703","结果仍像参考而非承诺","明确照片保存与删除"
"R1-32","谨慎决策","和发型师说清需求","true","true","true","false","false","false","3.3","703","人物一致性不足","支持重生成"
"R1-33","谨慎决策","降低剪坏风险","true","true","true","false","false","false","3.8","704","无法微调不满意的部分","明确照片保存与删除"
"R1-34","谨慎决策","降低剪坏风险","true","true","true","true","true","false","3.6","704","人物一致性不足","更真实地保持本人"
"R1-35","谨慎决策","和发型师说清需求","true","true","true","false","false","false","3.9","705","不知道下一步怎么带到店","展示打理难度"
"R1-36","谨慎决策","降低剪坏风险","true","true","true","false","false","false","3.7","705","人物一致性不足","更真实地保持本人"
"R1-37","谨慎决策","和发型师说清需求","true","true","true","true","true","false","3.4","705","人物一致性不足","支持重生成"
"R1-38","谨慎决策","降低剪坏风险","true","true","true","true","true","false","3.6","706","人物一致性不足","明确照片保存与删除"
"R1-39","谨慎决策","降低剪坏风险","true","true","true","true","true","false","3.6","706","人物一致性不足","展示打理难度"
"R1-40","谨慎决策","和发型师说清需求","true","true","false","false","false","false","4.0","0","不知道下一步怎么带到店","更真实地保持本人"
"R1-41","谨慎决策","降低剪坏风险","true","true","false","false","false","false","4.0","0","担心人脸数据","明确照片保存与删除"
"R1-42","谨慎决策","降低剪坏风险","true","true","true","true","true","false","3.4","704","人物一致性不足","支持重生成"
"R1-43","谨慎决策","和发型师说清需求","true","true","true","true","true","false","3.9","704","结果仍像参考而非承诺","支持重生成"
"R1-44","谨慎决策","和发型师说清需求","true","true","true","true","false","false","3.3","705","人物一致性不足","明确照片保存与删除"
"R1-45","谨慎决策","和发型师说清需求","true","true","true","true","true","false","3.3","705","人物一致性不足","先看真实案例"
"R1-46","谨慎决策","和发型师说清需求","true","true","true","true","true","false","3.8","706","不知道下一步怎么带到店","先看真实案例"
"R1-47","谨慎决策","和发型师说清需求","true","true","true","true","false","false","3.6","706","人物一致性不足","明确照片保存与删除"
"R1-48","谨慎决策","和发型师说清需求","false","false","false","false","false","false","3.6","0","没有立即看懂价值","展示打理难度"
"R1-49","谨慎决策","和发型师说清需求","true","true","true","true","true","false","3.3","707","人物一致性不足","支持重生成"
"R1-50","谨慎决策","降低剪坏风险","true","true","true","false","false","false","4.0","707","无法微调不满意的部分","明确照片保存与删除"
"R1-51","谨慎决策","和发型师说清需求","true","true","true","true","true","false","4.1","705","缺少现实可实现说明","先看真实案例"
"R1-52","谨慎决策","降低剪坏风险","false","false","false","false","false","false","3.7","0","没有立即看懂价值","明确照片保存与删除"
"R1-53","低维护","确认日常维护成本","true","true","true","true","true","true","4.0","706","不知道下一步怎么带到店","支持重生成"
"R1-54","低维护","找到好打理的发型","true","false","false","false","false","false","3.3","0","没有合适照片或不想上传","先看真实案例"
"R1-55","低维护","确认日常维护成本","true","true","true","true","false","false","4.0","706","结果仍像参考而非承诺","明确照片保存与删除"
"R1-56","低维护","确认日常维护成本","true","true","true","true","true","false","3.5","707","人物一致性不足","明确照片保存与删除"
"R1-57","低维护","确认日常维护成本","true","true","true","true","true","false","3.5","708","人物一致性不足","展示打理难度"
"R1-58","低维护","找到好打理的发型","false","false","false","false","false","false","3.2","0","没有立即看懂价值","先看真实案例"
