id,segment,started,uploaded,consented,completed,selected,willingToSalon,willingToPay,status,latency,identity,realism,distinction,usefulness,privacyTrust,feedback
"U001","近期准备剪发","true","true","true","true","true","true","false","201","758","4.1","4.4","4.7","4.1","4.1","比明星参考图更有用，因为能看到自己的大概效果"
"U002","近期准备剪发","true","true","true","true","true","true","false","201","707","4.0","4.0","4.4","4.3","4.0","比明星参考图更有用，因为能看到自己的大概效果"
"U003","近期准备剪发","true","true","true","true","true","true","false","201","707","3.8","4.2","4.4","4.1","4.4","愿意把选中的结果带给发型师沟通"
"U004","近期准备剪发","true","true","true","true","true","true","true","201","708","4.0","4.1","4.5","3.9","4.2","愿意把选中的结果带给发型师沟通"
"U005","近期准备剪发","true","true","true","true","true","false","false","201","708","3.5","4.4","4.8","4.1","3.9","发型有区别，但脸看起来不像完全同一个人"
"U006","近期准备剪发","true","true","true","true","false","false","false","201","705","4.1","4.5","4.4","4.5","4.2","结果有参考价值，但还不足以让我确定最终方案"
"U007","近期准备剪发","true","true","true","true","true","true","false","201","706","4.0","4.4","4.8","4.3","4.2","愿意把选中的结果带给发型师沟通"
"U008","近期准备剪发","true","true","true","true","true","true","false","201","706","4.2","3.8","4.7","4.4","4.0","比明星参考图更有用，因为能看到自己的大概效果"
"U009","近期准备剪发","true","true","true","true","true","true","false","201","708","3.7","4.1","4.8","4.3","4.4","发型有区别，但脸看起来不像完全同一个人"
"U010","近期准备剪发","true","true","true","true","true","true","false","201","707","3.8","4.2","4.3","4.1","4.2","比明星参考图更有用，因为能看到自己的大概效果"
"U011","近期准备剪发","true","true","true","true","true","true","false","201","707","3.3","4.5","4.3","3.8","4.2","发型有区别，但脸看起来不像完全同一个人"
"U012","近期准备剪发","true","true","true","true","true","true","false","201","705","4.1","4.1","4.5","4.5","4.2","比明星参考图更有用，因为能看到自己的大概效果"
"U013","近期准备剪发","true","true","true","true","false","false","false","201","706","3.3","4.1","4.5","4.4","4.1","发型有区别，但脸看起来不像完全同一个人"
