id,segment,audience,currentLength,targetLength,goal,chemical,dailyMinutes,stage,started,uploaded,consented,completed,selected,latencyMs,status,variants,feedback
"U001","明确换发需求者","neutral","short","short","volume","false","0","landing","false","false","false","false","false","0","0","","首屏信息较多，我还没确定是否值得上传照片。"
"U002","明确换发需求者","neutral","medium","short","volume","true","20","result","true","true","true","true","false","760","201","轻纹理短碎|自然侧分|柔和微卷","我理解这是演示，但当前预览质量不足以让我选择。"
"U003","明确换发需求者","feminine","medium","medium","fresh","false","0","result","true","true","true","true","true","736","201","柔和微卷|锁骨层次|中性轻狼尾","三种方向便于比较，但需要真实AI效果图才能判断是否可信。"
"U004","明确换发需求者","neutral","medium","medium","fresh","false","10","upload","true","false","false","false","false","0","0","","手头没有合适的正脸照片，准备成本比预想高。"
"U005","明确换发需求者","neutral","medium","medium","fashion","false","30","result","true","true","true","true","true","737","201","柔和微卷|中性轻狼尾|锁骨层次","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U006","明确换发需求者","feminine","short","short","fresh","true","20","result","true","true","true","true","true","737","201","自然侧分|轻纹理短碎|法式短波波","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
"U007","明确换发需求者","masculine","short","short","fresh","false","15","result","true","true","true","true","true","737","201","轻纹理短碎|自然侧分|法式短波波","三种方向便于比较，但需要真实AI效果图才能判断是否可信。"
"U008","明确换发需求者","masculine","medium","medium","professional","false","5","result","true","true","true","true","true","737","201","柔和微卷|中性轻狼尾|自然侧分","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U009","明确换发需求者","neutral","long","long","younger","true","30","result","true","true","true","true","true","737","201","空气刘海中长发|长发流线层次|柔和微卷","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
"U010","明确换发需求者","neutral","medium","medium","volume","true","30","result","true","true","true","true","false","737","201","柔和微卷|中性轻狼尾|长发流线层次","Mock叠加效果不像真实发型，无法据此做决定。"
"U011","明确换发需求者","neutral","medium","medium","fashion","false","20","result","true","true","true","true","false","709","201","柔和微卷|中性轻狼尾|锁骨层次","三个方案有区别，但缺少正面/侧面和细节对比。"
"U012","明确换发需求者","neutral","short","short","younger","false","5","result","true","true","true","true","true","710","201","法式短波波|自然侧分|柔和微卷","三种方向便于比较，但需要真实AI效果图才能判断是否可信。"
"U013","明确换发需求者","feminine","long","long","younger","false","0","result","true","true","true","true","true","710","201","空气刘海中长发|长发流线层次|柔和微卷","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U014","明确换发需求者","neutral","short","medium","younger","true","0","result","true","true","true","true","false","711","201","柔和微卷|锁骨层次|中性轻狼尾","我理解这是演示，但当前预览质量不足以让我选择。"
"U015","明确换发需求者","feminine","short","short","younger","false","10","landing","false","false","false","false","false","0","0","","首屏信息较多，我还没确定是否值得上传照片。"
"U016","明确换发需求者","feminine","long","long","younger","false","20","result","true","true","true","true","true","711","201","空气刘海中长发|长发流线层次|柔和微卷","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
